difficulty,block,statement_1,statement_2,statement_3,statement_4,statement_5,true_statements,false_statements,trial_id,n_answers,n_correct_answers,probed_truth_value,n_true_answers,n_false_answers,trial_num
2,5,1 is within 2,3 contains 2,4 contains 3,,,"2 contains 1, 2 is within 3, 3 is within 4, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 1 is within 4, 4 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 1 contains 4, 4 is within 1",38,3,2,TRUE,2,1,71
2,5,1 is within 2,3 contains 2,4 contains 3,,,"2 contains 1, 2 is within 3, 3 is within 4, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 1 is within 4, 4 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 1 contains 4, 4 is within 1",38,3,3,FALSE,0,3,72
2,5,1 contains 2,3 is within 2,3 contains 4,,,"2 is within 1, 2 contains 3, 4 is within 3, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 1 contains 4, 4 is within 1","2 contains 1, 2 is within 3, 4 contains 3, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 1 is within 4, 4 contains 1",37,3,2,FALSE,1,2,73
2,5,1 is within 2,2 is within 3,4 contains 3,,,"2 contains 1, 2 is within 3, 3 is within 4, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 1 is within 4, 4 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 1 contains 4, 4 is within 1",39,3,3,FALSE,0,3,74
2,5,1 is within 2,3 contains 2,4 contains 3,,,"2 contains 1, 2 is within 3, 3 is within 4, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 1 is within 4, 4 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 1 contains 4, 4 is within 1",38,3,3,TRUE,3,0,75
2,5,1 contains 2,3 is within 2,3 contains 4,,,"2 is within 1, 2 contains 3, 4 is within 3, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 1 contains 4, 4 is within 1","2 contains 1, 2 is within 3, 4 contains 3, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 1 is within 4, 4 contains 1",37,3,2,TRUE,2,1,76
3,5,1 is within 2,3 contains 2,4 contains 3,5 contains 4,,"2 contains 1, 2 is within 3, 3 is within 4, 4 is within 5, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 3 is within 5, 5 contains 3, 1 is within 4, 4 contains 1, 2 is within 5, 5 contains 2, 1 is within 5, 5 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 4 contains 5, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 3 contains 5, 5 is within 3, 1 contains 4, 4 is within 1, 2 contains 5, 5 is within 2, 1 contains 5, 5 is within 1",42,4,2,FALSE,2,2,77
3,5,1 contains 2,3 is within 2,3 contains 4,5 is within 4,,"2 is within 1, 2 contains 3, 4 is within 3, 4 contains 5, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 3 contains 5, 5 is within 3, 1 contains 4, 4 is within 1, 2 contains 5, 5 is within 2, 1 contains 5, 5 is within 1","2 contains 1, 2 is within 3, 4 contains 3, 4 is within 5, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 3 is within 5, 5 contains 3, 1 is within 4, 4 contains 1, 2 is within 5, 5 contains 2, 1 is within 5, 5 contains 1",40,4,3,TRUE,3,1,78
3,5,1 is within 2,3 contains 2,4 contains 3,5 contains 4,,"2 contains 1, 2 is within 3, 3 is within 4, 4 is within 5, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 3 is within 5, 5 contains 3, 1 is within 4, 4 contains 1, 2 is within 5, 5 contains 2, 1 is within 5, 5 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 4 contains 5, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 3 contains 5, 5 is within 3, 1 contains 4, 4 is within 1, 2 contains 5, 5 is within 2, 1 contains 5, 5 is within 1",42,4,1,FALSE,3,1,79
3,5,1 is within 2,2 is within 3,4 contains 3,5 contains 4,,"2 contains 1, 3 contains 2, 3 is within 4, 4 is within 5, 1 is within 3, 3 contains 1, 2 is within 4, 4 contains 2, 3 is within 5, 5 contains 3, 1 is within 4, 4 contains 1, 2 is within 5, 5 contains 2, 1 is within 5, 5 contains 1","2 is within 1, 2 contains 3, 3 contains 4, 4 contains 5, 1 contains 3, 3 is within 1, 2 contains 4, 4 is within 2, 3 contains 5, 5 is within 3, 1 contains 4, 4 is within 1, 2 contains 5, 5 is within 2, 1 contains 5, 5 is within 1",43,4,3,TRUE,3,1,80
2,6,1 is less than 2,3 is less than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",49,2,1,FALSE,1,1,81
1,6,1 is the same as 2,3 is the same as 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1","1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",44,2,1,FALSE,1,1,82
2,6,1 is more than 2,3 is less than 4,,,,"1 is to 2 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 1 is to 2, 2 is to 1<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>2 is to 1, 2 is to 1 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 2 is to 1, 1 is to 2<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>1 is to 2","1 is to 2<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1, 2 is to 1<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2",48,2,1,FALSE,1,1,83
2,6,1 is more than 2,3 is less than 4,,,,"1 is to 2 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 1 is to 2, 2 is to 1<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>2 is to 1, 2 is to 1 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 2 is to 1, 1 is to 2<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>1 is to 2","1 is to 2<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1, 2 is to 1<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2",48,2,1,TRUE,1,1,84
2,6,1 is less than 2,3 is less than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",49,2,2,FALSE,0,2,85
1,6,1 is the same as 2,3 is opposite to 4,,,,"1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1",45,2,1,TRUE,1,1,86
2,6,1 is more than 2,3 is more than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",47,3,2,TRUE,2,1,87
1,6,1 is opposite to 2,3 is opposite to 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1","1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",46,3,3,FALSE,0,3,88
2,6,1 is more than 2,3 is less than 4,,,,"1 is to 2 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 1 is to 2, 2 is to 1<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>2 is to 1, 2 is to 1 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 2 is to 1, 1 is to 2<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>1 is to 2","1 is to 2<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1, 2 is to 1<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2",48,3,2,TRUE,2,1,89
1,6,1 is opposite to 2,3 is opposite to 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1","1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",46,3,1,TRUE,1,2,90
2,6,1 is less than 2,3 is less than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",49,3,3,FALSE,0,3,91
2,6,1 is more than 2,3 is more than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",47,3,2,FALSE,1,2,92
2,6,1 is more than 2,3 is more than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",47,4,1,TRUE,1,3,93
2,6,1 is less than 2,3 is less than 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1","1 is to 2<br>is the same as<br>4 is to 3, 2 is to 1<br>is the same as<br>3 is to 4, 4 is to 3<br>is the same as<br>1 is to 2, 3 is to 4<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",49,4,1,FALSE,3,1,94
1,6,1 is opposite to 2,3 is opposite to 4,,,,"1 is to 2<br>is the same as<br>3 is to 4, 2 is to 1<br>is the same as<br>4 is to 3, 3 is to 4<br>is the same as<br>1 is to 2, 4 is to 3<br>is the same as<br>2 is to 1","1 is to 2 <br>is opposite to<br> 3 is to 4, 2 is to 1 <br>is opposite to<br> 4 is to 3, 3 is to 4 <br>is opposite to<br> 1 is to 2, 4 is to 3 <br>is opposite to<br> 2 is to 1",46,4,2,FALSE,2,2,95
2,6,1 is more than 2,3 is less than 4,,,,"1 is to 2 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 1 is to 2, 2 is to 1<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>2 is to 1, 2 is to 1 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 2 is to 1, 1 is to 2<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>1 is to 2","1 is to 2<br>is the same as<br>3 is to 4, 3 is to 4<br>is the same as<br>1 is to 2, 2 is to 1 <br>is opposite to<br> 3 is to 4, 3 is to 4 <br>is opposite to<br> 2 is to 1, 2 is to 1<br>is the same as<br>4 is to 3, 4 is to 3<br>is the same as<br>2 is to 1, 1 is to 2 <br>is opposite to<br> 4 is to 3, 4 is to 3 <br>is opposite to<br> 1 is to 2",48,4,3,TRUE,3,1,96
1,7,1 is here,2 is there,if here was there and there was here,,then...,"1 is there, 2 is here","1 is here, 2 is there",50,2,1,TRUE,1,1,97
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,2,2,FALSE,0,2,98
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,2,1,TRUE,1,1,99
3,7,1 is here now,2 was there then,if here was there and there was here,and if 1 is 2 and 2 is 1,then...,"2 is there now, 1 was here then","2 was there then, 2 is here now, 2 was here then, 1 was there then, 1 is here now, 1 is there now",53,2,1,FALSE,1,1,100
2,7,1 is here now,2 was there then,if here was there and there was here,,then...,"1 is there now, 2 was here then","1 is here now, 2 was there then, 1 was there then, 2 is here now",51,2,1,TRUE,1,1,101
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,2,2,TRUE,2,0,102
3,7,1 is here now,2 was there then,if here was there and there was here,and if 1 is 2 and 2 is 1,then...,"2 is there now, 1 was here then","2 was there then, 2 is here now, 2 was here then, 1 was there then, 1 is here now, 1 is there now",53,3,1,FALSE,2,1,103
2,7,1 is here now,2 was there then,if here was there and there was here,,then...,"1 is there now, 2 was here then","1 is here now, 2 was there then, 1 was there then, 2 is here now",51,3,2,FALSE,1,2,104
2,7,1 is here now,2 was there then,if here was there and there was here,,then...,"1 is there now, 2 was here then","1 is here now, 2 was there then, 1 was there then, 2 is here now",51,3,1,FALSE,2,1,105
1,7,1 is here,2 is there,if here was there and there was here,,then...,"1 is there, 2 is here","1 is here, 2 is there",50,3,1,TRUE,1,2,106
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,3,2,FALSE,1,2,107
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,3,3,FALSE,0,3,108
2,7,1 is here now,2 was there then,if here was there and there was here,,then...,"1 is there now, 2 was here then","1 is here now, 2 was there then, 1 was there then, 2 is here now",51,4,2,FALSE,2,2,109
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,4,2,FALSE,2,2,110
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,4,1,TRUE,1,3,111
2,7,1 is here now,2 was there then,if now was then and then was now,,then...,"1 was here then, 2 is there now","1 is here now, 2 was there then, 1 was there then, 2 was here then",52,4,3,FALSE,1,3,112
1,8,1 minus 2,is the same as,3 minus 4,1 is more than 3,,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",56,2,2,TRUE,2,0,113
1,8,1 minus 2,is the same as,3 minus 4,1 is more than 3,,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",56,2,1,FALSE,1,1,114
2,8,1 minus 2,is less than,3 minus 4,2 is the same as 4,,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",61,2,2,TRUE,2,0,115
2,8,1 minus 2,is more than,3 minus 4,1 is the same as 3,,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",59,2,2,FALSE,0,2,116
1,8,1 plus 2,is the same as,3 plus 4,1 is more than 3,,"3 is less than 1, 4 is more than 2, 2 is less than 4","2 is the same as 4, 2 is more than 4, 4 is less than 2, 1 is less than 3, 3 is more than 1",54,2,1,TRUE,1,1,117
2,8,1 plus 2,is less than,3 plus 4,2 is the same as 4,,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",60,2,2,TRUE,2,0,118
2,8,1 plus 2,is more than,3 plus 4,1 is the same as 3,,"2 is more than 4, 4 is less than 2, 3 is the same as 1","2 is less than 4, 4 is more than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",58,3,3,TRUE,3,0,119
2,8,1 plus 2,is more than,3 plus 4,1 is the same as 3,,"2 is more than 4, 4 is less than 2, 3 is the same as 1","2 is less than 4, 4 is more than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",58,3,1,TRUE,1,2,120
2,8,1 minus 2,is more than,3 minus 4,1 is the same as 3,,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",59,3,1,FALSE,2,1,121
1,8,1 minus 2,is the same as,3 minus 4,1 is more than 3,,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",56,3,3,TRUE,3,0,122
1,8,1 minus 2,is the same as,3 minus 4,1 is more than 3,,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",56,3,1,FALSE,2,1,123
1,8,1 plus 2,is the same as,3 plus 4,1 is more than 3,,"3 is less than 1, 4 is more than 2, 2 is less than 4","2 is the same as 4, 2 is more than 4, 4 is less than 2, 1 is less than 3, 3 is more than 1",54,3,3,FALSE,0,3,124
2,8,1 minus 2,is less than,3 minus 4,2 is the same as 4,,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",61,4,3,TRUE,3,1,125
2,8,1 minus 2,is less than,3 minus 4,2 is the same as 4,,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",61,4,1,TRUE,1,3,126
2,8,1 plus 2,is less than,3 plus 4,2 is the same as 4,,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",60,4,1,TRUE,1,3,127
1,8,1 minus 2,is the same as,3 minus 4,1 is more than 3,,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",56,4,2,FALSE,2,2,128
